Species,bill_length,wing_length,tarsus_length
Surf Scoter,37,25,56
White-winged Scoter,45,28,54
Surf Scoter,38,13,38
White-winged Scoter,40,25,54
White-winged Scoter,36,26,58
White-winged Scoter,40,26,46
Surf Scoter,39,24,45
White-winged Scoter,40,24,50
White-winged Scoter,42,21,52
White-winged Scoter,36,27,54
Surf Scoter,40,23,42
White-winged Scoter,43,27,50
Surf Scoter,38,22.3,40
White-winged Scoter,35,25,50
Surf Scoter,40,17,44
Surf Scoter,38,23,40
Surf Scoter,42,24,49
Surf Scoter,41,23.1,42
Surf Scoter,38.8,22.5,48
White-winged Scoter,44,27,51
Surf Scoter,40,22,50
Surf Scoter,39,22,48
Surf Scoter,39,24,47
Surf Scoter,38,21,41
Surf Scoter,42,23.5,44
Surf Scoter,35,22,52
Surf Scoter,40,22,45
Surf Scoter,44,23,45
Surf Scoter,42,24,55
Surf Scoter,40,25.5,42
Surf Scoter,38,22.5,48
Surf Scoter,39,25,48
Surf Scoter,42,23,54
Surf Scoter,40,24,45
Surf Scoter,37,25,50
Surf Scoter,40,19,53
Surf Scoter,40,25,43
Surf Scoter,40,25.5,55
Surf Scoter,35,22,55
White-winged Scoter,42,27,55
White-winged Scoter,37,27.5,52
White-winged Scoter,40,26,50
Surf Scoter,40,23,51
White-winged Scoter,42,28,51
Surf Scoter,40,24.7,45
White-winged Scoter,41,27,54
Surf Scoter,44,22.5,48
Surf Scoter,44,23.5,42
Surf Scoter,38,31,53
Surf Scoter,40,23.3,53
Surf Scoter,41,24,42
Surf Scoter,42,23.5,43
White-winged Scoter,42,27.5,54
Surf Scoter,42,23,48
Surf Scoter,37,21,41
Surf Scoter,44,24,45
White-winged Scoter,41,27,45
Surf Scoter,40,23,45
White-winged Scoter,43,29,52
Surf Scoter,45,27,53
Surf Scoter,35,19,48
Surf Scoter,37.5,16,35
Surf Scoter,35,23.5,44
White-winged Scoter,45,25,50
Surf Scoter,40,22,54
Surf Scoter,39,15,41
Surf Scoter,36,24,46
White-winged Scoter,39,28,46
White-winged Scoter,41,27,52
White-winged Scoter,40,15,46
White-winged Scoter,34,26,45
White-winged Scoter,40,29,56
White-winged Scoter,38,15,47
White-winged Scoter,38,28,49
Surf Scoter,40,25,44
Surf Scoter,38,22,42
White-winged Scoter,50,23,43
Surf Scoter,42,21,48
Surf Scoter,37,35,45
Surf Scoter,40,22,50
White-winged Scoter,43,27.5,51
White-winged Scoter,39.9,25.9,53
White-winged Scoter,41,27.5,51
White-winged Scoter,43,27,52
White-winged Scoter,43,27,48
White-winged Scoter,44,27,49
White-winged Scoter,34,26,48
White-winged Scoter,46,27.7,49
White-winged Scoter,44,18,53
White-winged Scoter,41,26.5,50
White-winged Scoter,43,26,50
White-winged Scoter,37,27,59
White-winged Scoter,39,17,48
Surf Scoter,41,23,41
Surf Scoter,35,15,41
White-winged Scoter,45,28,52
Surf Scoter,42,23.7,40
Surf Scoter,38,24,57
White-winged Scoter,42,29,63
White-winged Scoter,48,26,50
White-winged Scoter,39,23.8,49
Surf Scoter,40,29,51
Surf Scoter,39,23.5,48
Surf Scoter,32,24,46
Surf Scoter,35,24,53
White-winged Scoter,43,26,49
White-winged Scoter,41,26,49
White-winged Scoter,41,29,54
White-winged Scoter,47,28,55
Surf Scoter,38,23,43
Surf Scoter,40,23,47
White-winged Scoter,37,18.5,49
White-winged Scoter,41,22,45
White-winged Scoter,43,28.5,50
Surf Scoter,41,25,45
White-winged Scoter,43,26,55
White-winged Scoter,44,27.5,54
White-winged Scoter,44,27,50
White-winged Scoter,41,26.5,50
White-winged Scoter,44,27.5,55
White-winged Scoter,43,27,44
White-winged Scoter,43,30,53
White-winged Scoter,42,29,49
Surf Scoter,47,23.6,45
Surf Scoter,41.5,23,48
Surf Scoter,34,23,51
White-winged Scoter,44,27.5,54
Surf Scoter,41,23.5,46
Surf Scoter,41,23,34
Surf Scoter,41,24,58
Surf Scoter,46,24.1,45
Surf Scoter,37,24.3,45
White-winged Scoter,42,28.5,50
Surf Scoter,40,23,50
Surf Scoter,40,25,48
Surf Scoter,37,22.5,44
White-winged Scoter,36,28,52
Surf Scoter,30,23,50
White-winged Scoter,40,28,60
White-winged Scoter,40,24,49
White-winged Scoter,40,26,47
Surf Scoter,36,12.6,42
Surf Scoter,38,19,53
White-winged Scoter,40,27,50
Surf Scoter,35,14,55
White-winged Scoter,44,19,51
Surf Scoter,37,23.5,45
White-winged Scoter,39,24,48
Surf Scoter,40,15,45
Surf Scoter,37,17.5,42
Surf Scoter,38,26,46
White-winged Scoter,42,28,51
Surf Scoter,37,25,43
White-winged Scoter,39,26.5,54
White-winged Scoter,38,27,51
White-winged Scoter,36,23,50
White-winged Scoter,39,21.2,51
White-winged Scoter,40,19,50
Surf Scoter,44,15,46
White-winged Scoter,45,28,51
Surf Scoter,41,26,52
White-winged Scoter,37,28,51
Surf Scoter,39,23.5,41
White-winged Scoter,48,27,47
White-winged Scoter,43,26.5,53
Surf Scoter,40,22,50
Surf Scoter,43,25,48
White-winged Scoter,38,27.4,55
White-winged Scoter,35,28,54
White-winged Scoter,37,27,45
White-winged Scoter,45,30,60
Surf Scoter,38,24.5,45
White-winged Scoter,37,28,48
White-winged Scoter,42.4,28.5,52.4
Surf Scoter,41,25,52
White-winged Scoter,43,26,46
White-winged Scoter,45,24,50
White-winged Scoter,44,25.9,52
Surf Scoter,39,25,44
Surf Scoter,39,25,44
White-winged Scoter,48,26.8,50
White-winged Scoter,40,27.5,47
White-winged Scoter,38,15.5,62
Surf Scoter,41,24,53
Surf Scoter,42,15,50
White-winged Scoter,44,27.5,55
White-winged Scoter,39,26,47
Surf Scoter,38,23,43
Surf Scoter,44,24,41
White-winged Scoter,43,29,53
Surf Scoter,33,25,45
White-winged Scoter,40,27.3,52
Surf Scoter,34,24,56
Surf Scoter,35,21.5,51
Surf Scoter,36,22.5,53
Surf Scoter,40,23,49
Surf Scoter,39,22,49
Surf Scoter,40,25,50
White-winged Scoter,45,24,53
Surf Scoter,34,23,30
White-winged Scoter,44,28,55
White-winged Scoter,42,20,51
Surf Scoter,37,15,56
Surf Scoter,36,22,47
White-winged Scoter,42,16,60
White-winged Scoter,45,19,55
Surf Scoter,40,15,45
White-winged Scoter,35,14,42
White-winged Scoter,40,18,52
Surf Scoter,40,11,50
White-winged Scoter,45,23,55
Surf Scoter,35,18,50
Surf Scoter,37,19.5,42
Surf Scoter,33,14.5,48
Surf Scoter,38,23,42.5
Surf Scoter,36,15,54
White-winged Scoter,41,22.8,55
Surf Scoter,40,20.1,45
Surf Scoter,36,22,52
Surf Scoter,37,13,42
White-winged Scoter,39,24.6,57
Surf Scoter,39,17,41
Surf Scoter,35,21,44
Surf Scoter,39,19.6,27
Surf Scoter,33,14.2,47
Surf Scoter,42,19.6,51
White-winged Scoter,41,27,50
Surf Scoter,36,22.5,49
Surf Scoter,42,14.5,50
White-winged Scoter,41,24.6,54
Surf Scoter,36,18.5,51
White-winged Scoter,42,23,52
Surf Scoter,34,17.5,47
Surf Scoter,38,23,44
Surf Scoter,38,22,46
Surf Scoter,38,16,45
White-winged Scoter,40,14,50
White-winged Scoter,40,20,50
White-winged Scoter,43,21,54
Surf Scoter,38,22,46
White-winged Scoter,40,17,51
White-winged Scoter,45,22,52
Surf Scoter,35,20,44
Surf Scoter,39,17,45
White-winged Scoter,40,20,52
White-winged Scoter,44,21,51
Surf Scoter,35,22,45
Surf Scoter,36,21,45
White-winged Scoter,42,23,54
Surf Scoter,40,21,46
Surf Scoter,35,20,44
Surf Scoter,41,22,45
White-winged Scoter,40,24,51
Surf Scoter,36,11,42
White-winged Scoter,41,17.5,54
Surf Scoter,35,22,45
Surf Scoter,39,18.1,47
White-winged Scoter,42,13.2,52
White-winged Scoter,42,23,54
Surf Scoter,37,14.5,41
Surf Scoter,31,20.2,44
Surf Scoter,37,21,46
White-winged Scoter,41,20,46
Surf Scoter,38,14.9,41
Surf Scoter,40,17.8,44
White-winged Scoter,41,21.5,52
Surf Scoter,39,10,45
White-winged Scoter,39,19.5,50
Surf Scoter,32,22.5,46
White-winged Scoter,36,16.7,47
Surf Scoter,38,21,47
White-winged Scoter,40,21.2,52
Surf Scoter,39,10.5,46
Surf Scoter,37,12.5,45
Surf Scoter,38,15,43
Surf Scoter,41,12,46
Surf Scoter,41,19.2,43
Surf Scoter,38,19.5,45
Surf Scoter,41,14.5,45
White-winged Scoter,48,24.6,51
Surf Scoter,40,22.5,46
Surf Scoter,38,12,44
Surf Scoter,36,21.8,43
Surf Scoter,39,21.7,47
Surf Scoter,39,15.5,47
Surf Scoter,39,14,46
Surf Scoter,33,15.3,44
White-winged Scoter,43,18.4,57
White-winged Scoter,40,17.5,52
White-winged Scoter,43,17,53
White-winged Scoter,42,21,52
Surf Scoter,38,16,42
White-winged Scoter,43,25.5,53
White-winged Scoter,42,23,50
White-winged Scoter,43,22,52
White-winged Scoter,40,17,48
White-winged Scoter,45,17,52
Surf Scoter,37,13.5,46
White-winged Scoter,44,24.5,50
Surf Scoter,43,15.5,45
White-winged Scoter,43,16,51
Surf Scoter,35,24,45
Surf Scoter,40,20,50
White-winged Scoter,50,16,59
Surf Scoter,42,19.6,51
White-winged Scoter,40,34,55
Surf Scoter,44,20,44
Surf Scoter,35,18,48
Surf Scoter,39,21,42
White-winged Scoter,44,19,53
Surf Scoter,39,21,45
White-winged Scoter,40,25,47
White-winged Scoter,43,20,50
Surf Scoter,39,13,48
Surf Scoter,39,12,45
Surf Scoter,37,20,45
White-winged Scoter,35,22,59
Surf Scoter,35,13,45
White-winged Scoter,45,26,65
White-winged Scoter,36,22,52
White-winged Scoter,43,22,46
White-winged Scoter,41,22,52
Surf Scoter,37,20,47
Surf Scoter,35,15,45
Surf Scoter,40,16,52
Surf Scoter,34,20,46
White-winged Scoter,38,22,52
White-winged Scoter,41,19,52
Surf Scoter,36,18,45
Surf Scoter,35,15.5,42
Surf Scoter,39,18,42
White-winged Scoter,38,13,39
White-winged Scoter,44,21,52
Surf Scoter,36,20,46
Surf Scoter,42,21,44
White-winged Scoter,47,23,56
White-winged Scoter,38,20,52
Surf Scoter,39,23,44
Surf Scoter,40,11,50
Surf Scoter,40,12.5,45
Surf Scoter,39,21,49
White-winged Scoter,43,21,47
White-winged Scoter,39,20,51
Surf Scoter,38,11.3,45
White-winged Scoter,40,23,59
White-winged Scoter,48,19.7,52
Surf Scoter,43,19,46
White-winged Scoter,42,26,50
Surf Scoter,34,22.6,47
Surf Scoter,38,20.5,46
Surf Scoter,36,15,44
Surf Scoter,34,18,44
Surf Scoter,35,13.5,46
Surf Scoter,37,10,46
Surf Scoter,35,21,48
Surf Scoter,39,10.8,44
Surf Scoter,35,21,50
Surf Scoter,33,16,43
Surf Scoter,40,14,47
White-winged Scoter,39,12,47
Surf Scoter,45,9.5,45
Surf Scoter,37,15.3,46
Surf Scoter,38,10.1,47
Surf Scoter,39,15.8,43
Surf Scoter,34,22,46
Surf Scoter,37,16.5,50
Surf Scoter,38,20,46
White-winged Scoter,44,12,50
Surf Scoter,45,15,49
White-winged Scoter,42,13.9,50
Surf Scoter,31,18,48
Surf Scoter,40,14.6,49
Surf Scoter,34,19,44
Surf Scoter,46,17.5,43
Surf Scoter,39,13,45
Surf Scoter,46,20,45
White-winged Scoter,41,23.5,52
Surf Scoter,40,18,43
Surf Scoter,35,9.5,46
Surf Scoter,38,14,52
Surf Scoter,38,18,47
Surf Scoter,39,13.5,46
Surf Scoter,41,12,44
White-winged Scoter,41,22.5,47
Surf Scoter,34,22.5,42
White-winged Scoter,35,18,51
Surf Scoter,39,21.2,46
Surf Scoter,32,17,48
Surf Scoter,41,11.8,40
White-winged Scoter,45,16,50
Surf Scoter,37,21.5,44
Surf Scoter,42,18.4,49
White-winged Scoter,41,11,46
Surf Scoter,36,21,46
White-winged Scoter,47,11.2,55
White-winged Scoter,40,17.5,50
Surf Scoter,37,23,47
Surf Scoter,36,15.3,45
Surf Scoter,40,14,40
White-winged Scoter,40,20,48
Surf Scoter,37,21,48
Surf Scoter,39,16,45
White-winged Scoter,42,21,50
White-winged Scoter,39,22,53
White-winged Scoter,40,22,51
Surf Scoter,37,20,46
Surf Scoter,38,12,46
Surf Scoter,38,22,39
White-winged Scoter,46,19,49
White-winged Scoter,40,26,48
White-winged Scoter,42,22,45
Surf Scoter,39,17,46
Surf Scoter,39,22.7,41
White-winged Scoter,43,21.6,48
White-winged Scoter,39,14.5,44
Surf Scoter,41,22,49
Surf Scoter,41,22,49
Surf Scoter,35,22,47
White-winged Scoter,43,17.8,52
White-winged Scoter,41,21,50
Surf Scoter,40,20.5,40
Surf Scoter,39,11.6,42
Surf Scoter,32,23,47
White-winged Scoter,46,25,53
White-winged Scoter,39,18.4,51
Surf Scoter,32,23.1,45
Surf Scoter,38,15.4,42
Surf Scoter,39,22.4,41
White-winged Scoter,43,23,61
Surf Scoter,36,13.2,44
White-winged Scoter,41,25,52
Surf Scoter,38,20,45
Surf Scoter,38,15,46
White-winged Scoter,40,21,53
Surf Scoter,36,16,48
Surf Scoter,42,13.3,43
White-winged Scoter,39,20,50
White-winged Scoter,44,25,49
White-winged Scoter,39,16,52
Surf Scoter,39,20,45
White-winged Scoter,43,21.5,54
Surf Scoter,38,14,44
White-winged Scoter,42,22.5,49
Surf Scoter,38,14,45
Surf Scoter,37,21,45
White-winged Scoter,45,22,55
White-winged Scoter,44,28,48
White-winged Scoter,41,16,59
Surf Scoter,41,17,50
Surf Scoter,32,20,44
Surf Scoter,39,11.3,45
Surf Scoter,34,16,48
White-winged Scoter,44,22.2,58
Surf Scoter,38,11.8,43
Surf Scoter,43,14.9,45
Surf Scoter,44,13.2,48
White-winged Scoter,43,21.8,58
White-winged Scoter,44,27.8,43
Surf Scoter,45,18.2,44
Surf Scoter,30,20,45
Surf Scoter,34,13.3,42
White-winged Scoter,44,27,50
Surf Scoter,38,15,48
Surf Scoter,33,22,49
Surf Scoter,32,9.8,40
Surf Scoter,36,13,46
Surf Scoter,39,17.5,40
Surf Scoter,40,22.5,44
White-winged Scoter,40,28,47
White-winged Scoter,43,14,47
Surf Scoter,37,24,43
Surf Scoter,42,25.6,45
Surf Scoter,35,11,47
White-winged Scoter,40,24.5,50
Surf Scoter,42,20.9,43
Surf Scoter,37,33,46
Surf Scoter,41,22,44
White-winged Scoter,46,28,53
Surf Scoter,37,19.5,41
